,snap_num,pos,nick,lap,gap,int,pits,t
3,16,4,Alonso,15,4.2,3.400,1,1:43.785
4,16,5,Perez,15,8.7,4.100,0,1:45.244
5,16,6,Di Resta,15,10.0,0.900,0,1:45.680
6,16,7,Hamilton,15,10.4,0.400,1,1:44.292
7,16,8,Raikkonnen,15,12.2,1.800,1,1:43.216
8,16,9,Vergne,15,16.3,4.000,0,1:44.837
9,16,10,Massa,15,16.7,0.300,1,1:44.570
10,16,11,Webber,15,17.8,1.100,1,1:43.773
11,16,12,Rosberg,15,20.9,3.000,1,1:44.036
12,16,13,Bottas,15,23.6,3.800,0,1:45.433
13,16,14,Grosjean,16,21.2,0.700,1,1:45.588
14,16,15,Ricciardo,16,21.9,0.600,1,1:45.796
15,16,16,Maldonado,16,36.8,14.900,1,1:45.018
16,16,17,Pic,16,41.1,4.200,1,1:45.200
17,16,18,Bianchi,16,42.0,0.900,1,1:45.579
18,16,19,Van Der Garde,16,50.0,7.900,1,1:46.517
19,16,20,Chilton,16,50.4,0.400,1,1:45.345
20,16,21,Sutil,×,10L, ,1,
21,16,22,Gutierrez,×,11L, ,0,
0,17,1,Button,16, , ,0,1:44.155
1,17,2,Alonso,16,2.7,2.700,1,1:43.399
2,17,3,Perez,17,6.5,3.700,0,1:45.222
3,17,4,Hamilton,17,6.8,0.300,1,1:44.685
4,17,5,Raikkonnen,17,7.2,0.300,1,1:44.348
5,17,6,Massa,17,11.1,3.800,1,1:44.176
6,17,7,Vettel,17,13.5,2.400,1,1:57.977
7,17,8,Rosberg,17,16.8,3.300,1,1:45.246
8,17,9,Hulkenberg,17,17.3,0.400,1,2:02.303
9,17,10,Webber,OUT,20.2,2.900,2,
10,17,11,Bottas,17,20.5,0.200,0,1:45.046
11,17,12,Grosjean,17,21.1,0.500,1,1:44.886
12,17,13,Ricciardo,17,21.6,0.500,1,1:44.737
13,17,14,Di Resta,17,25.3,3.600,1,1:58.771
14,17,15,Vergne,OUT,29.7,4.400,1,
15,17,16,Maldonado,17,36.6,6.800,1,1:44.757
16,17,17,Pic,17,41.4,4.800,1,1:45.309
17,17,18,Bianchi,17,42.1,0.600,1,1:45.019
18,17,19,Chilton,17,51.5,9.400,1,1:46.055
19,17,20,Van Der Garde,17,53.3,1.700,1,1:48.294
20,17,21,Sutil,×,11L, ,1,
21,17,22,Gutierrez,×,12L, ,0,
0,18,1,Button,17, , ,0,1:44.623
1,18,2,Alonso,17,1.5,1.500,1,1:43.399
2,18,3,Hamilton,17,6.1,4.600,1,1:43.938
3,18,4,Perez,17,6.5,3.700,0,1:45.222
4,18,5,Raikkonnen,17,7.2,0.300,1,1:44.348
5,18,6,Massa,17,11.1,3.800,1,1:44.176
6,18,7,Vettel,17,13.5,2.400,1,1:57.977
7,18,8,Rosberg,17,16.8,3.300,1,1:45.246
8,18,9,Hulkenberg,17,17.3,0.400,1,2:02.303
9,18,10,Webber,OUT,20.2,2.900,2,
10,18,11,Bottas,17,20.5,0.200,0,1:45.046
11,18,12,Grosjean,17,21.1,0.500,1,1:44.886
12,18,13,Ricciardo,17,21.6,0.500,1,1:44.737
13,18,14,Di Resta,17,25.3,3.600,1,1:58.771
14,18,15,Vergne,OUT,29.7,4.400,1,
15,18,16,Maldonado,17,36.6,6.800,1,1:44.757
16,18,17,Pic,17,41.4,4.800,1,1:45.309
17,18,18,Bianchi,17,42.1,0.600,1,1:45.019
18,18,19,Chilton,17,51.5,9.400,1,1:46.055
19,18,20,Van Der Garde,17,53.3,1.700,1,1:48.294
20,18,21,Sutil,×,11L, ,1,
21,18,22,Gutierrez,×,12L, ,0,
0,19,1,Button,19, , ,0,1:44.198
1,19,2,Alonso,19,0.7,0.700,1,1:44.518
2,19,3,Hamilton,19,5.6,5.100,1,1:43.954
3,19,4,Raikkonnen,19,7.2,1.500,1,1:43.150
4,19,5,Perez,19,10.1,2.900,0,1:45.418
5,19,6,Massa,19,11.2,1.000,1,1:44.869
6,19,7,Vettel,19,11.6,0.300,1,1:44.359
7,19,8,Hulkenberg,19,13.9,2.200,1,1:43.253
8,19,9,Rosberg,19,17.0,3.100,1,1:44.670
9,19,10,Grosjean,19,20.8,3.700,1,1:44.051
10,19,11,Ricciardo,19,21.3,0.500,1,1:44.034
11,19,12,Di Resta,19,23.0,1.600,1,1:43.749
12,19,13,Maldonado,19,36.8,13.800,1,1:45.303
13,19,14,Bottas,19,42.7,5.900,1,2:01.539
14,19,15,Vergne,19,44.0,1.200,1,1:43.016
15,19,16,Pic,OUT,46.8,2.800,2,
16,19,17,Chilton,19,53.8,6.900,1,1:45.828
17,19,18,Van Der Garde,19,58.1,4.200,1,1:47.060
18,19,19,Bianchi,19,67.1,9.000,2,2:04.763
19,19,20,Webber,×,3L, ,2,
20,19,21,Sutil,×,13L, ,1,
21,19,22,Gutierrez,×,14L, ,0,
0,20,1,Button,19, , ,0,1:44.198
1,20,2,Alonso,19,0.7,0.700,1,1:44.518
2,20,3,Hamilton,19,5.6,5.100,1,1:43.954
3,20,4,Raikkonnen,19,7.2,1.500,1,1:43.150
4,20,5,Perez,19,10.1,2.900,0,1:45.418
5,20,6,Massa,19,11.2,1.000,1,1:44.869
6,20,7,Vettel,19,11.6,0.300,1,1:44.359
7,20,8,Hulkenberg,19,13.9,2.200,1,1:43.253
8,20,9,Rosberg,19,17.0,3.100,1,1:44.670
9,20,10,Grosjean,19,20.8,3.700,1,1:44.051
10,20,11,Ricciardo,19,21.3,0.500,1,1:44.034
11,20,12,Di Resta,19,23.0,1.600,1,1:43.749
12,20,13,Maldonado,19,36.8,13.800,1,1:45.303
13,20,14,Bottas,19,42.7,5.900,1,2:01.539
14,20,15,Vergne,19,44.0,1.200,1,1:43.016
15,20,16,Pic,OUT,46.8,2.800,2,
16,20,17,Chilton,19,53.8,6.900,1,1:45.828
17,20,18,Van Der Garde,19,58.1,4.200,1,1:47.060
18,20,19,Bianchi,19,67.1,9.000,2,2:04.763
19,20,20,Webber,×,3L, ,2,
20,20,21,Sutil,×,13L, ,1,
21,20,22,Gutierrez,×,14L, ,0,
0,21,1,Button,21, , ,0,1:44.592
1,21,2,Alonso,21,0.3,0.300,1,1:44.558
2,21,3,Hamilton,21,4.8,4.400,1,1:43.909
3,21,4,Raikkonnen,21,5.8,1.000,1,1:44.216
4,21,5,Perez,21,11.6,5.700,0,1:45.128
5,21,6,Vettel,21,11.9,0.300,1,1:44.183
6,21,7,Hulkenberg,21,13.8,1.800,1,1:44.300
7,21,8,Massa,OUT,16.8,3.000,2,
8,21,9,Grosjean,21,21.0,4.100,1,1:44.725
9,21,10,Ricciardo,21,21.7,0.600,1,1:44.768
10,21,11,Rosberg,OUT,22.2,0.500,2,
11,21,12,Di Resta,21,22.3,0.100,1,1:44.460
12,21,13,Maldonado,21,38.1,15.700,1,1:44.874
13,21,14,Bottas,21,41.9,3.800,1,1:44.083
